# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/02/24 10:10:54.038555704
# End Time   : 2017/02/24 10:40:54.038568049
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_OnDetPower_TPCPS_2_7_604/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: R (Gigaohms(
# 

Time	uB_OnDetPower_TPCPS_2_7_604/CURR_READ Value	uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ Value	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	R (Gigaohms( Value
2017/02/24 08:58:45.020000000	#N/A	-0.0667	#N/A	#N/A
2017/02/24 10:10:40.518826302	#N/A	-0.0667	-0.0132	#N/A
2017/02/24 10:10:53.973610539	0.0000	-0.0667	-0.0132	-0.0650
2017/02/24 10:11:05.514196580	0.0000	-0.0667	-0.0069	-0.0650
2017/02/24 10:11:13.526173768	0.0000	-0.0667	-0.0048	-0.0650
2017/02/24 10:11:31.520601431	0.0000	-0.0667	-0.0028	-0.0650
2017/02/24 10:11:38.393589926	0.0000	-0.0667	-0.0028	-0.1011
2017/02/24 10:11:39.393912937	0.0000	-0.0667	-0.0028	-0.0999
2017/02/24 10:11:39.994296311	0.0000	-0.0667	-0.0028	-0.0993
2017/02/24 10:11:40.994844174	0.0000	-0.0667	-0.0028	-0.1002
2017/02/24 10:11:41.995151063	0.0000	-0.0667	-0.0028	-0.1002
2017/02/24 10:11:42.595290100	0.0000	-0.0667	-0.0028	-0.0999
2017/02/24 10:11:42.701221632	0.0000	-0.0667	-0.0028	-0.0999
2017/02/24 10:11:43.595720502	0.0000	-0.0667	-0.0028	-0.0994
2017/02/24 10:11:44.596316459	0.0000	-0.0667	-0.0028	-0.0993
2017/02/24 10:11:45.396696389	0.0000	-0.0667	-0.0028	-0.0996
2017/02/24 10:11:46.196953637	0.0000	-0.0667	-0.0028	-0.0992
2017/02/24 10:11:46.997641771	0.0000	-0.0667	-0.0028	-0.0996
2017/02/24 10:11:47.797917744	0.0000	-0.0667	-0.0028	-0.0987
2017/02/24 10:11:48.798442047	0.0000	-0.0667	-0.0028	-0.0992
2017/02/24 10:11:49.598932149	0.0000	-0.0667	-0.0028	-0.0993
2017/02/24 10:11:50.599343072	0.0000	-0.0667	-0.0028	-0.1006
2017/02/24 10:11:51.399529512	0.0000	-0.0667	-0.0028	-0.1007
2017/02/24 10:11:53.801292360	0.0000	-0.0667	-0.0028	-0.1012
2017/02/24 10:11:54.803131960	0.0000	-0.0667	-0.0028	-0.1015
2017/02/24 10:11:55.803663186	0.0000	-0.0667	-0.0028	-0.1009
2017/02/24 10:11:56.404324137	0.0000	-0.0667	-0.0028	-0.1007
2017/02/24 10:11:57.204463369	0.0000	-0.0667	-0.0028	-0.1005
2017/02/24 10:11:58.204706555	0.0000	-0.0667	-0.0028	-0.0995
2017/02/24 10:11:59.005255211	0.0000	-0.0667	-0.0028	-0.0996
2017/02/24 10:11:59.805272271	0.0000	-0.0667	-0.0028	-0.0996
2017/02/24 10:12:00.805843569	0.0000	-0.0667	-0.0028	-0.0995
