x0000,y0000
0,-1,
1,1,
2,0,
3,0,
4,1,
5,0,
6,0,
7,0,
8,1,
9,0,
10,1,
11,1,
12,0,
13,0,
14,0,
15,0,
16,0,
17,1,
18,0,
19,1,
20,0,
21,0,
22,-1,
23,-1,
24,0,
25,1,
26,0,
27,0,
28,0,
29,0,
30,0,
31,0,
32,0,
33,0,
34,0,
35,1,
36,1,
37,0,
38,1,
39,0,
40,1,
41,0,
42,-1,
43,0,
44,0,
45,0,
46,1,
47,0,
48,-1,
49,0,
50,1,
51,-1,
52,1,
53,1,
54,0,
55,1,
56,0,
57,0,
58,0,
59,-1,
60,0,
61,-1,
62,0,
63,0,
64,0,
65,-1,
66,0,
67,1,
68,0,
69,0,
70,1,
71,0,
72,-1,
73,1,
74,0,
75,0,
76,0,
77,2,
78,0,
79,0,
80,0,
81,0,
82,0,
83,-1,
84,0,
85,0,
86,0,
87,0,
88,1,
89,1,
90,0,
91,1,
92,1,
93,0,
94,0,
95,1,
96,0,
97,0,
98,0,
99,1,
100,0,
101,0,
102,1,
103,1,
104,0,
105,0,
106,1,
107,0,
108,0,
109,0,
110,0,
111,0,
112,0,
113,0,
114,0,
115,0,
116,0,
117,1,
118,1,
119,0,
120,1,
121,0,
122,1,
123,1,
124,0,
125,1,
126,0,
127,0,
128,1,
129,0,
130,0,
131,0,
132,0,
133,1,
134,1,
135,1,
136,0,
137,0,
138,0,
139,0,
140,0,
141,0,
142,1,
143,1,
144,0,
145,0,
146,0,
147,0,
148,1,
149,0,
150,1,
151,1,
152,0,
153,0,
154,0,
155,0,
156,0,
157,0,
158,1,
159,0,
160,0,
161,0,
162,0,
163,-1,
164,0,
165,0,
166,1,
167,0,
168,0,
169,0,
170,1,
171,0,
172,0,
173,0,
174,0,
175,0,
176,0,
177,0,
178,-1,
179,1,
180,0,
181,-1,
182,0,
183,0,
184,1,
185,0,
186,0,
187,-1,
188,-1,
189,0,
190,0,
191,0,
192,0,
193,0,
194,0,
195,0,
196,1,
197,0,
198,1,
199,0,
200,0,
201,1,
202,0,
203,0,
204,0,
205,0,
206,0,
207,0,
208,1,
209,0,
210,0,
211,1,
212,0,
213,1,
214,1,
215,0,
216,1,
217,0,
218,0,
219,0,
220,1,
221,-1,
222,0,
223,0,
224,0,
225,0,
226,-1,
227,1,
228,1,
229,0,
230,2,
231,0,
232,0,
233,0,
234,1,
235,1,
236,0,
237,0,
238,0,
239,0,
240,0,
241,1,
242,0,
243,0,
244,1,
245,1,
246,0,
247,0,
248,1,
249,0,
250,0,
251,1,
252,0,
253,0,
254,1,
255,1,
256,1,
257,1,
258,0,
259,0,
260,0,
261,0,
262,0,
263,1,
264,0,
265,0,
266,1,
267,1,
268,0,
269,-1,
270,1,
271,1,
272,0,
273,0,
274,0,
275,0,
276,0,
277,0,
278,0,
279,-1,
280,0,
281,1,
282,1,
283,0,
284,0,
285,0,
286,1,
287,0,
288,0,
289,0,
290,0,
291,0,
292,0,
293,0,
294,1,
295,1,
296,0,
297,0,
298,1,
299,0,
300,0,
301,0,
302,1,
303,1,
304,0,
305,1,
306,1,
307,1,
308,1,
309,1,
310,0,
311,0,
312,1,
313,0,
314,0,
315,0,
316,0,
317,0,
318,1,
319,0,
320,1,
321,0,
322,0,
323,0,
324,0,
325,-1,
326,1,
327,1,
328,0,
329,0,
330,0,
331,1,
332,0,
333,0,
334,0,
335,0,
336,1,
337,0,
338,0,
339,0,
340,0,
341,0,
342,0,
343,0,
344,0,
345,0,
346,0,
347,1,
348,1,
349,1,
350,1,
351,1,
352,0,
353,0,
354,0,
355,0,
356,0,
357,0,
358,0,
359,0,
360,0,
361,0,
362,0,
363,0,
364,0,
365,0,
366,0,
367,0,
368,0,
369,0,
370,-189,
371,140,
372,56,
373,-18,
374,-2,
375,18,
376,11,
377,4,
378,6,
379,17,
380,7,
381,-2,
382,0,
383,-6,
384,14,
385,10,
386,2,
387,2,
388,0,
389,6,
390,14,
391,4,
392,1,
393,3,
394,9,
395,6,
396,3,
397,2,
398,7,
399,8,
400,8,
401,6,
402,5,
403,8,
404,11,
405,9,
406,5,
407,6,
408,10,
409,13,
410,10,
411,5,
412,6,
413,11,
414,12,
415,9,
416,6,
417,7,
418,10,
419,11,
420,9,
421,6,
422,7,
423,11,
424,10,
425,7,
426,4,
427,8,
428,11,
429,11,
430,7,
431,6,
432,8,
433,11,
434,11,
435,8,
436,6,
437,9,
438,8,
439,8,
440,7,
441,6,
442,7,
443,10,
444,7,
445,5,
446,6,
447,8,
448,8,
449,8,
450,5,
451,5,
452,7,
453,8,
454,6,
455,5,
456,4,
457,6,
458,6,
459,5,
460,5,
461,5,
462,5,
463,6,
464,5,
465,4,
466,4,
467,6,
468,5,
469,3,
470,2,
471,4,
472,5,
473,4,
474,3,
475,3,
476,4,
477,4,
478,4,
479,3,
480,2,
481,3,
482,4,
483,3,
484,2,
485,2,
486,3,
487,3,
488,2,
489,2,
490,1,
491,3,
492,2,
493,3,
494,1,
495,3,
496,2,
497,3,
498,2,
499,2,
500,2,
501,2,
502,2,
503,2,
504,1,
505,1,
506,2,
507,2,
508,1,
509,2,
510,2,
511,3,
512,2,
513,1,
514,1,
515,2,
516,2,
517,2,
518,1,
519,1,
520,1,
521,3,
522,0,
523,1,
524,1,
525,1,
526,2,
527,1,
528,1,
529,1,
530,1,
531,1,
532,1,
533,1,
534,1,
535,2,
536,2,
537,1,
538,1,
539,1,
540,1,
541,2,
542,1,
543,2,
544,2,
545,2,
546,2,
547,2,
548,1,
549,1,
550,1,
551,1,
552,1,
553,0,
554,2,
555,2,
556,1,
557,1,
558,1,
559,0,
560,2,
561,1,
562,1,
563,1,
564,1,
565,1,
566,1,
567,0,
568,0,
569,2,
570,1,
571,1,
572,1,
573,1,
574,2,
575,2,
576,1,
577,1,
578,1,
579,0,
580,2,
581,0,
582,1,
583,2,
584,3,
585,2,
586,0,
587,1,
588,1,
589,2,
590,1,
591,2,
592,1,
593,1,
594,2,
595,1,
596,1,
597,2,
598,1,
599,2,
600,0,
601,1,
602,1,
603,2,
604,2,
605,1,
606,0,
607,1,
608,2,
609,1,
610,2,
611,1,
612,1,
613,2,
614,1,
615,1,
616,1,
617,1,
618,1,
619,1,
620,1,
621,1,
622,1,
623,1,
624,1,
625,1,
626,1,
627,1,
628,1,
629,1,
630,1,
631,1,
632,0,
633,1,
634,1,
635,0,
636,0,
637,0,
638,0,
639,1,
640,0,
641,0,
642,0,
643,0,
