x0000,y0000
0,-11.5,
1,-10.5,
2,-12.5,
3,-12.5,
4,-12.5,
5,-12.5,
6,-11.5,
7,-12.5,
8,-12.5,
9,-16.5,
10,-16.5,
11,-17.5,
12,-16.5,
13,-14.5,
14,-12.5,
15,-11.5,
16,-9.5,
17,-8.5,
18,-8.5,
19,-9.5,
20,-11.5,
21,-11.5,
22,-15.5,
23,-15.5,
24,-16.5,
25,-16.5,
26,-13.5,
27,-11.5,
28,-11.5,
29,-10.5,
30,-12.5,
31,-14.5,
32,-12.5,
33,-12.5,
34,-11.5,
35,-13.5,
36,-12.5,
37,-10.5,
38,-10.5,
39,-10.5,
40,-11.5,
41,-11.5,
42,-11.5,
43,-13.5,
44,-14.5,
45,-16.5,
46,-16.5,
47,-16.5,
48,-15.5,
49,-12.5,
50,-11.5,
51,-11.5,
52,-12.5,
53,-12.5,
54,-13.5,
55,-15.5,
56,-15.5,
57,-15.5,
58,-14.5,
59,-15.5,
60,-14.5,
61,-12.5,
62,-11.5,
63,-10.5,
64,-10.5,
65,-11.5,
66,-12.5,
67,-14.5,
68,-15.5,
69,-13.5,
70,-13.5,
71,-13.5,
72,-13.5,
73,-13.5,
74,-12.5,
75,-12.5,
76,-10.5,
77,-11.5,
78,-12.5,
79,-14.5,
80,-15.5,
81,-15.5,
82,-13.5,
83,-11.5,
84,-10.5,
85,-9.5,
86,-9.5,
87,-9.5,
88,-10.5,
89,-11.5,
90,-11.5,
91,-11.5,
92,-12.5,
93,-11.5,
94,-11.5,
95,-14.5,
96,-17.5,
97,-17.5,
98,-17.5,
99,-16.5,
100,-14.5,
101,-13.5,
102,-12.5,
103,-14.5,
104,-14.5,
105,-15.5,
106,-15.5,
107,-15.5,
108,-16.5,
109,-18.5,
110,-19.5,
111,-20.5,
112,-18.5,
113,-16.5,
114,-13.5,
115,-12.5,
116,-13.5,
117,-16.5,
118,-18.5,
119,-18.5,
120,-17.5,
121,-16.5,
122,-16.5,
123,-16.5,
124,-17.5,
125,-15.5,
126,-15.5,
127,-15.5,
128,-14.5,
129,-14.5,
130,-15.5,
131,-16.5,
132,-15.5,
133,-16.5,
134,-18.5,
135,-19.5,
136,-19.5,
137,-17.5,
138,-13.5,
139,-12.5,
140,-12.5,
141,-14.5,
142,-14.5,
143,-14.5,
144,-15.5,
145,-13.5,
146,-13.5,
147,-13.5,
148,-14.5,
149,-13.5,
150,-10.5,
151,-10.5,
152,-7.5,
153,-6.5,
154,-7.5,
155,-8.5,
156,-12.5,
157,-14.5,
158,-14.5,
159,-15.5,
160,-11.5,
161,-11.5,
162,-11.5,
163,-11.5,
164,-10.5,
165,-9.5,
166,-9.5,
167,-7.5,
168,-9.5,
169,-9.5,
170,-10.5,
171,-10.5,
172,-12.5,
173,-11.5,
174,-12.5,
175,-13.5,
176,-13.5,
177,-13.5,
178,-10.5,
179,-8.5,
180,-8.5,
181,-9.5,
182,-10.5,
183,-11.5,
184,-12.5,
185,-13.5,
186,-12.5,
187,-12.5,
188,-12.5,
189,-11.5,
190,-11.5,
191,-11.5,
192,-11.5,
193,-11.5,
194,-12.5,
195,-12.5,
196,-13.5,
197,-12.5,
198,-11.5,
199,-11.5,
200,-10.5,
201,-10.5,
202,-12.5,
203,-14.5,
204,-14.5,
205,-13.5,
206,-10.5,
207,-8.5,
208,-8.5,
209,-9.5,
210,-11.5,
211,-13.5,
212,-12.5,
213,-12.5,
214,-12.5,
215,-14.5,
216,-15.5,
217,-16.5,
218,-16.5,
219,-14.5,
220,-14.5,
221,-13.5,
222,-14.5,
223,-14.5,
224,-14.5,
225,-12.5,
226,-12.5,
227,-14.5,
228,-13.5,
229,-13.5,
230,-14.5,
231,-13.5,
232,-12.5,
233,-14.5,
234,-14.5,
235,-15.5,
236,-16.5,
237,-16.5,
238,-17.5,
239,-17.5,
240,-14.5,
241,-13.5,
242,-12.5,
243,-11.5,
244,-10.5,
245,-9.5,
246,-12.5,
247,-13.5,
248,-14.5,
249,-17.5,
250,-17.5,
251,-16.5,
252,-14.5,
253,-14.5,
254,-14.5,
255,-13.5,
