# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/02/10 10:42:52.679545364
# End Time   : 2017/02/10 11:12:52.679552963
# Source     : Plot
# Format     : Exponential (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_OnDetPower_TPCPS_2_7_604/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_OnDetPower_TPCPS_2_7_604/CURR_READ Value	Negative Error	Positive Error	Severity	Status	uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ Value	Negative Error	Positive Error	Severity	Status
2017/02/09 14:18:41.437360783	1.0562E-9	0	0	NONE	OK	#N/A	#N/A	#N/A	#N/A	#N/A
2017/02/10 10:37:02.901413052	1.0562E-9	0	0	NONE	OK	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:46:58.487104257	5.6905E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:46:59.487776384	5.5805E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:00.288493417	5.7436E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:01.089113695	6.1307E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:03.891308854	6.2618E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:04.491542518	6.2989E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:05.492099002	6.3114E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:06.292285437	6.6425E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:07.092882226	6.2335E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:07.893272927	7.5481E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:08.893881109	7.6503E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:09.694331632	8.0615E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:10.494702584	8.4330E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:11.495146837	7.8688E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:12.295776214	7.6807E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:13.296298272	7.4315E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:47:13.896429173	7.2716E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
