# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/28 10:30:22.406000000
# End Time   : 2017/01/29 15:15:41.078000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_1_1_0/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_OnDetPower_TPCPS_1_1_0/CURR_READ Value
2017/01/28 10:30:05.004048720	-216.3469	2.5161
2017/01/28 10:31:23.000000000	-216.3504	2.5161
2017/01/28 10:33:32.000000000	-216.3489	2.5161
2017/01/28 10:35:41.000000000	-216.3481	2.5161
2017/01/28 10:37:50.000000000	-216.3475	2.5161
2017/01/28 10:39:59.000000000	-216.3443	2.5161
2017/01/28 10:42:08.000000000	-216.3412	2.5161
2017/01/28 10:44:17.000000000	-216.3407	2.5161
2017/01/28 10:46:26.000000000	-216.3407	2.5161
2017/01/28 10:48:35.000000000	-216.3397	2.5161
2017/01/28 10:50:44.000000000	-216.3357	2.5161
2017/01/28 10:52:53.000000000	-216.3394	2.5161
2017/01/28 10:55:02.000000000	-216.3459	2.5161
2017/01/28 10:57:11.000000000	-216.3461	2.5161
2017/01/28 10:59:20.000000000	-216.3527	2.5161
2017/01/28 11:01:29.000000000	-216.3471	2.5161
2017/01/28 11:03:38.000000000	-216.3393	2.5161
2017/01/28 11:05:47.000000000	-216.3398	2.5161
2017/01/28 11:07:56.000000000	-216.3434	2.5161
2017/01/28 11:10:05.000000000	-216.3371	2.5161
2017/01/28 11:12:14.000000000	-216.3375	2.5161
2017/01/28 11:14:23.000000000	-216.3390	2.5161
2017/01/28 11:16:32.000000000	-216.3353	2.5161
2017/01/28 11:18:41.000000000	-216.3439	2.5161
2017/01/28 11:20:50.000000000	-216.3434	2.5161
2017/01/28 11:22:59.000000000	-214.5940	2.5161
2017/01/28 11:25:08.000000000	-214.3225	2.5161
2017/01/28 11:27:17.000000000	-214.2021	2.5161
2017/01/28 11:29:26.000000000	-214.0126	2.5161
2017/01/28 11:31:35.000000000	-214.1265	2.5161
2017/01/28 11:33:44.000000000	-214.4513	2.5161
2017/01/28 11:35:53.000000000	-214.0757	2.5161
2017/01/28 11:38:02.000000000	-214.3562	2.5161
