# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/03/08 14:10:10.054852682
# End Time   : 2017/03/22 14:10:10.054866098
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_OnDetPower_TPCPS_1_1_0/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_OnDetPower_TPCPS_1_1_0/CURR_READ Value
2017/03/08 10:07:25.009247788	2.5020
2017/03/08 14:27:58.458923199	2.5044
2017/03/08 16:46:42.000000000	2.5052
2017/03/08 17:36:56.000000000	2.5050
2017/03/08 18:02:03.000000000	2.5047
2017/03/09 06:02:20.307598676	2.5010
2017/03/09 10:21:36.000000000	2.4997
2017/03/09 10:46:43.000000000	2.4998
2017/03/10 01:50:55.000000000	2.5003
2017/03/10 02:16:02.000000000	2.5007
2017/03/10 02:41:09.000000000	2.5005
2017/03/10 03:06:16.000000000	2.5003
2017/03/10 03:31:23.000000000	2.5006
2017/03/10 04:21:37.000000000	2.5010
2017/03/10 04:46:44.000000000	2.5003
2017/03/10 05:11:51.000000000	2.5007
2017/03/10 05:36:58.000000000	2.5005
2017/03/10 07:17:26.000000000	2.5003
2017/03/10 07:42:33.000000000	2.5002
2017/03/10 08:07:40.000000000	2.4998
2017/03/10 09:48:08.000000000	2.5007
2017/03/10 10:13:15.000000000	2.5004
2017/03/10 10:38:22.000000000	2.5001
2017/03/10 11:03:29.000000000	2.5003
2017/03/10 11:28:36.000000000	2.5005
2017/03/10 11:53:43.000000000	2.5004
2017/03/10 12:18:50.000000000	2.5005
2017/03/10 12:43:57.000000000	2.5006
2017/03/10 13:09:04.000000000	2.5008
2017/03/10 13:34:11.000000000	2.5012
2017/03/10 13:59:18.000000000	2.5009
2017/03/10 14:24:25.000000000	2.5002
2017/03/10 14:49:32.000000000	2.5008
2017/03/17 20:00:45.397759503	2.5044
2017/03/18 00:08:59.147762496	2.5015
2017/03/18 18:04:57.920243470	2.5039
2017/03/19 16:14:51.000000000	2.5051
2017/03/19 16:39:58.000000000	2.5049
2017/03/19 17:55:19.000000000	2.5049
2017/03/20 05:38:35.000000000	2.4995
2017/03/20 06:03:42.000000000	2.5042
2017/03/20 10:14:52.000000000	2.5043
2017/03/20 10:39:59.000000000	2.5051
2017/03/20 11:30:13.000000000	2.5051
2017/03/20 11:55:20.000000000	2.5046
2017/03/20 12:20:27.000000000	2.5041
2017/03/20 13:10:41.000000000	2.5042
2017/03/20 13:35:48.000000000	2.5045
2017/03/20 14:00:55.000000000	2.5051
2017/03/20 14:26:02.000000000	2.5051
2017/03/20 15:16:16.000000000	2.5056
2017/03/20 15:41:23.000000000	2.5056
2017/03/20 16:06:30.000000000	2.5052
2017/03/20 16:31:37.000000000	2.5050
2017/03/20 16:56:44.000000000	2.5050
2017/03/20 17:21:51.000000000	2.5049
2017/03/20 17:46:58.000000000	2.5047
2017/03/20 18:12:05.000000000	2.5048
2017/03/20 18:37:12.000000000	2.5054
2017/03/20 19:02:19.000000000	2.5052
2017/03/20 19:27:26.000000000	2.5051
2017/03/20 19:52:33.000000000	2.5051
2017/03/20 20:17:40.000000000	2.5045
2017/03/20 20:42:47.000000000	2.5046
2017/03/20 21:33:01.000000000	2.5043
2017/03/20 21:58:08.000000000	2.5042
2017/03/20 22:48:22.000000000	2.5042
2017/03/21 15:58:09.000000000	2.5042
2017/03/21 16:23:16.000000000	2.5042
2017/03/21 16:48:23.000000000	2.5042
2017/03/21 17:13:30.000000000	2.5042
2017/03/21 17:38:37.000000000	2.5046
2017/03/21 18:03:44.000000000	2.5053
2017/03/21 18:28:51.000000000	2.5051
2017/03/21 18:53:58.000000000	2.5054
2017/03/22 00:42:43.820568930	2.5020
2017/03/22 14:09:42.193569766	2.5024
2017/03/22 14:09:49.197657825	2.5029
2017/03/22 14:09:50.398079588	2.5024
2017/03/22 14:09:50.798257552	2.5029
2017/03/22 14:09:53.599765582	2.5024
2017/03/22 14:09:54.800419631	2.5029
2017/03/22 14:09:55.600833277	2.5024
2017/03/22 14:09:57.201600069	2.5029
2017/03/22 14:09:58.001913682	2.5024
2017/03/22 14:09:58.802232064	2.5029
2017/03/22 14:10:04.404932320	2.5024
2017/03/22 14:10:04.805114282	2.5029
2017/03/22 14:10:07.406353618	2.5024
2017/03/22 14:10:07.806539618	2.5029
