# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/27 20:00:00.000000000
# End Time   : 2017/01/29 13:00:00.000000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyCurrMon/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyCurrMon/calcCurrent
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_TPCDrift_HV01_keithleyCurrMon/getVoltage Value	uB_TPCDrift_HV01_keithleyCurrMon/calcCurrent Value
2017/01/27 20:00:04.000000000	-216.4959	0.0060	6.1003
2017/01/27 20:03:08.000000000	-216.5192	0.0060	6.1209
2017/01/27 20:06:12.000000000	-216.5122	0.0060	6.0997
2017/01/27 20:09:16.000000000	-216.5107	0.0060	6.1205
2017/01/27 20:12:20.000000000	-216.5066	0.0060	6.1212
2017/01/27 20:15:24.000000000	-216.4985	0.0060	6.1059
2017/01/27 20:18:28.000000000	-216.4984	0.0060	6.1364
2017/01/27 20:21:32.000000000	-216.5083	0.0060	6.1147
2017/01/27 20:24:36.000000000	-216.4939	0.0060	6.1137
2017/01/27 20:27:40.000000000	-216.4977	0.0060	6.1041
2017/01/27 20:30:44.000000000	-216.5014	0.0060	6.1028
2017/01/27 20:33:48.000000000	-216.4905	0.0060	6.0742
2017/01/27 20:36:52.000000000	-216.4952	0.0060	6.1403
2017/01/27 20:39:56.000000000	-216.4941	0.0060	6.1269
2017/01/27 20:43:00.000000000	-216.4892	0.0060	6.1316
2017/01/27 20:46:04.000000000	-216.4955	0.0060	6.1466
2017/01/27 20:49:08.000000000	-216.4993	0.0060	6.1703
2017/01/27 20:52:12.000000000	-216.4933	0.0060	6.1140
2017/01/27 20:55:16.000000000	-216.5018	0.0060	6.1140
2017/01/27 20:58:20.000000000	-216.5001	0.0060	6.1237
2017/01/27 21:01:24.000000000	-216.4915	0.0060	6.1300
2017/01/27 21:04:28.000000000	-216.5006	0.0060	6.1182
2017/01/27 21:07:32.000000000	-216.4886	0.0060	6.1046
2017/01/27 21:10:36.000000000	-216.4809	0.0060	6.1120
2017/01/27 21:13:40.000000000	-216.4898	0.0060	6.0996
2017/01/27 21:16:44.000000000	-216.4951	0.0060	6.1113
2017/01/27 21:19:48.000000000	-216.4813	0.0060	6.0990
2017/01/27 21:22:52.000000000	-216.5016	0.0060	6.0990
2017/01/27 21:25:56.000000000	-216.4962	0.0060	6.0863
2017/01/27 21:29:00.000000000	-216.4881	0.0060	6.0984
2017/01/27 21:32:04.000000000	-216.5002	0.0060	6.1010
2017/01/27 21:35:08.000000000	-215.8925	0.0060	5.9835
2017/01/27 21:38:12.000000000	-216.4438	0.0060	6.1213
2017/01/27 21:41:16.000000000	-216.4785	0.0060	6.1021
2017/01/27 21:44:20.000000000	-216.4769	0.0060	6.1017
2017/01/27 21:47:24.000000000	-216.4779	0.0060	6.0998
2017/01/27 21:50:28.000000000	-216.4895	0.0060	6.1187
2017/01/27 21:53:32.000000000	-215.3664	0.0060	6.2766
2017/01/27 21:56:36.000000000	-215.2713	0.0060	6.1691
2017/01/27 21:59:40.000000000	-215.4575	0.0060	6.1297
2017/01/27 22:02:44.000000000	-215.2889	0.0060	6.2258
2017/01/27 22:05:48.000000000	-215.1183	0.0060	5.9777
2017/01/27 22:08:52.000000000	-215.1569	0.0060	6.1918
2017/01/27 22:11:56.000000000	-215.0900	0.0060	6.1851
2017/01/27 22:15:00.000000000	-215.0523	0.0060	6.1376
2017/01/27 22:18:04.000000000	-215.0858	0.0060	6.0801
2017/01/27 22:21:08.000000000	-215.0011	0.0059	5.9668
2017/01/27 22:24:12.000000000	-214.8621	0.0060	5.9994
2017/01/27 22:27:16.000000000	-215.0319	0.0060	6.1374
2017/01/27 22:30:20.000000000	-214.9577	0.0060	6.0389
2017/01/27 22:33:24.000000000	-214.9860	0.0060	6.1816
2017/01/27 22:36:28.000000000	-214.9953	0.0060	6.0789
2017/01/27 22:39:32.000000000	-214.9366	0.0060	6.2307
2017/01/27 22:42:36.000000000	-215.4772	0.0060	6.2125
2017/01/27 22:45:40.000000000	-214.9372	0.0060	6.0561
2017/01/27 22:48:44.000000000	-214.9911	0.0060	6.0734
2017/01/27 22:51:48.000000000	-215.1588	0.0060	6.2056
2017/01/27 22:54:52.000000000	-215.2643	0.0060	6.1727
2017/01/27 22:57:56.000000000	-215.0156	0.0060	6.0341
2017/01/27 23:01:00.000000000	-214.9628	0.0060	6.1157
2017/01/27 23:04:04.000000000	-214.9704	0.0060	6.1527
2017/01/27 23:07:08.000000000	-214.9298	0.0060	6.2281
2017/01/27 23:10:12.000000000	-214.9268	0.0060	6.2529
2017/01/27 23:13:16.000000000	-214.9244	0.0060	5.9256
2017/01/27 23:16:20.000000000	-214.9566	0.0060	6.0375
2017/01/27 23:19:24.000000000	-215.1448	0.0061	6.1687
