# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/03/08 12:21:11.348324474
# End Time   : 2017/03/22 12:21:11.348343624
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

# Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value
2017/03/08 12:10:25.000000000	-216.5693
2017/03/08 12:35:32.000000000	-216.5733
2017/03/08 13:00:39.000000000	-216.5738
2017/03/08 13:25:46.000000000	-216.5744
2017/03/08 13:50:53.000000000	-216.5749
2017/03/08 14:16:00.000000000	-216.5741
2017/03/08 14:41:07.000000000	-216.5737
2017/03/08 15:06:14.000000000	-216.5751
2017/03/08 15:31:21.000000000	-216.5753
2017/03/08 15:56:28.000000000	-216.5744
2017/03/08 16:21:35.000000000	-216.5760
2017/03/08 16:46:42.000000000	-216.5733
2017/03/08 17:11:49.000000000	-216.5761
2017/03/08 17:36:56.000000000	-216.5722
2017/03/08 18:02:03.000000000	-216.5739
2017/03/08 18:27:10.000000000	-216.5726
2017/03/08 18:52:17.000000000	-216.5731
2017/03/08 19:17:24.000000000	-216.5716
2017/03/08 19:42:31.000000000	-216.5738
2017/03/08 20:07:38.000000000	-216.5767
2017/03/08 20:32:45.000000000	-216.5814
2017/03/08 20:57:52.000000000	-216.5806
2017/03/08 21:22:59.000000000	-216.5790
2017/03/08 21:48:06.000000000	-216.5799
2017/03/08 22:13:13.000000000	-216.5778
2017/03/08 22:38:20.000000000	-216.5786
2017/03/08 23:03:27.000000000	-216.5756
2017/03/08 23:28:34.000000000	-216.5766
2017/03/08 23:53:41.000000000	-216.5768
2017/03/09 00:18:48.000000000	-216.5799
2017/03/09 00:43:55.000000000	-216.5754
2017/03/09 01:09:02.000000000	-216.5727
2017/03/09 01:34:09.000000000	-216.5770
2017/03/09 01:59:16.000000000	-216.5778
2017/03/09 02:24:23.000000000	-216.5764
2017/03/09 02:49:30.000000000	-216.5720
2017/03/09 03:14:37.000000000	-216.5753
2017/03/09 03:39:44.000000000	-216.5734
2017/03/09 04:04:51.000000000	-216.5701
2017/03/09 04:29:58.000000000	-216.5735
2017/03/09 04:55:05.000000000	-216.5724
2017/03/09 05:20:12.000000000	-216.5688
2017/03/09 05:45:19.000000000	-216.5712
2017/03/09 06:10:26.000000000	-216.5697
2017/03/09 06:35:33.000000000	-216.5719
2017/03/09 07:00:40.000000000	-216.5739
2017/03/09 07:25:47.000000000	-216.5748
2017/03/09 07:50:54.000000000	-216.5753
2017/03/09 08:16:01.000000000	-216.5775
2017/03/09 08:41:08.000000000	-216.5765
2017/03/09 09:06:15.000000000	-216.5693
2017/03/09 09:31:22.000000000	-216.5813
2017/03/09 09:56:29.000000000	-216.5776
2017/03/09 10:21:36.000000000	-216.5632
2017/03/09 10:46:43.000000000	-216.5728
2017/03/09 11:11:50.000000000	-216.5783
2017/03/09 11:36:57.000000000	-216.5772
2017/03/09 12:02:04.000000000	-216.5751
2017/03/09 12:27:11.000000000	-216.5746
2017/03/09 12:52:18.000000000	-216.5711
2017/03/09 13:17:25.000000000	-216.5720
2017/03/09 13:42:32.000000000	-216.5791
2017/03/09 14:07:39.000000000	-216.5835
2017/03/09 14:32:46.000000000	-216.5796
2017/03/09 14:57:53.000000000	-216.5805
2017/03/09 15:23:00.000000000	-216.5794
2017/03/09 15:48:07.000000000	-216.5779
2017/03/09 16:13:14.000000000	-216.5738
2017/03/09 16:38:21.000000000	-216.5747
2017/03/09 17:03:28.000000000	-216.5739
2017/03/09 17:28:35.000000000	-216.5732
2017/03/09 17:53:42.000000000	-216.5738
2017/03/09 18:18:49.000000000	-216.5712
2017/03/09 18:43:56.000000000	-216.5739
2017/03/09 19:09:03.000000000	-216.5718
2017/03/09 19:34:10.000000000	-216.5710
2017/03/09 19:59:17.000000000	-216.5705
2017/03/09 20:24:24.000000000	-216.5675
2017/03/09 20:49:31.000000000	-216.5721
2017/03/09 21:14:38.000000000	-216.5713
2017/03/09 21:39:45.000000000	-216.5705
2017/03/09 22:04:52.000000000	-216.5729
2017/03/09 22:29:59.000000000	-216.5731
2017/03/09 22:55:06.000000000	-216.5685
2017/03/09 23:20:13.000000000	-216.5752
2017/03/09 23:45:20.000000000	-216.5740
2017/03/10 00:10:27.000000000	-216.5742
2017/03/10 00:35:34.000000000	-216.5759
2017/03/10 01:00:41.000000000	-216.5776
2017/03/10 01:25:48.000000000	-216.5714
2017/03/10 01:50:55.000000000	-216.5735
2017/03/10 02:16:02.000000000	-216.5733
2017/03/10 02:41:09.000000000	-216.5702
2017/03/10 03:06:16.000000000	-216.5770
2017/03/10 03:31:23.000000000	-216.5799
2017/03/10 03:56:30.000000000	-216.5839
2017/03/10 04:21:37.000000000	-216.5813
2017/03/10 04:46:44.000000000	-216.5736
