x0000,y0000
0,-3,
1,-2,
2,-1,
3,-1,
4,-2,
5,-2,
6,-2,
7,0,
8,0,
9,0,
10,-1,
11,-1,
12,-1,
13,0,
14,1,
15,1,
16,0,
17,-1,
18,1,
19,0,
20,1,
21,-1,
22,-1,
23,-1,
24,-1,
25,2,
26,1,
27,1,
28,2,
29,1,
30,0,
31,-1,
32,-1,
33,0,
34,1,
35,3,
36,2,
37,0,
38,1,
39,-1,
40,1,
41,1,
42,1,
43,-2,
44,-1,
45,-2,
46,-1,
47,1,
48,0,
49,0,
50,0,
51,-1,
52,0,
53,-1,
54,1,
55,1,
56,-1,
57,-1,
58,0,
59,1,
60,1,
61,1,
62,-1,
63,-1,
64,-3,
65,-2,
66,-1,
67,0,
68,0,
69,0,
70,0,
71,0,
72,1,
73,3,
74,2,
75,2,
76,3,
77,3,
78,2,
79,1,
80,1,
81,1,
82,2,
83,1,
84,0,
85,-2,
86,-1,
87,0,
88,2,
89,2,
90,2,
91,2,
92,2,
93,3,
94,1,
95,2,
96,2,
97,0,
98,2,
99,2,
100,2,
101,1,
102,2,
103,2,
104,4,
105,3,
106,2,
107,1,
108,0,
109,1,
110,0,
111,2,
112,2,
113,0,
114,0,
115,0,
116,0,
117,0,
118,-2,
119,-3,
120,-3,
121,-2,
122,0,
123,0,
124,0,
125,-1,
126,-2,
127,-1,
128,-1,
129,-1,
130,0,
131,-2,
132,2,
133,1,
134,2,
135,3,
136,2,
137,-1,
138,-4,
139,-4,
140,-3,
141,-2,
142,-1,
143,0,
144,-1,
145,0,
146,0,
147,2,
148,2,
149,3,
150,4,
151,2,
152,2,
153,0,
154,-1,
155,-2,
156,-2,
157,-2,
158,-2,
159,-2,
160,-2,
161,-2,
162,-1,
163,0,
164,4,
165,4,
166,3,
167,1,
168,1,
169,-1,
170,-3,
171,-2,
172,-3,
173,-4,
174,-3,
175,-2,
176,1,
177,1,
178,2,
179,3,
180,4,
181,4,
182,2,
183,2,
184,0,
185,1,
186,1,
187,0,
188,0,
189,2,
190,1,
191,4,
192,2,
193,2,
194,0,
195,0,
196,0,
197,0,
198,0,
199,-1,
200,-3,
201,-2,
202,-3,
203,-2,
204,-2,
205,-1,
206,0,
207,3,
208,5,
209,5,
210,5,
211,3,
212,3,
213,3,
214,4,
215,4,
216,4,
217,5,
218,1,
219,3,
220,3,
221,2,
222,1,
223,1,
224,-1,
225,-2,
226,-1,
227,0,
228,2,
229,1,
230,2,
231,-1,
232,-1,
233,-1,
234,-1,
235,-2,
236,0,
237,0,
238,-1,
239,0,
240,-1,
241,1,
242,1,
243,1,
244,2,
245,-1,
246,-1,
247,-2,
248,0,
249,2,
250,1,
251,1,
252,1,
253,1,
254,1,
255,1,
256,0,
257,2,
258,1,
259,3,
260,1,
261,3,
262,2,
263,1,
264,-1,
265,-4,
266,-3,
267,-3,
268,-2,
269,-3,
270,-1,
271,-2,
272,1,
273,2,
274,3,
275,2,
276,1,
277,0,
278,-1,
279,-2,
280,0,
281,-2,
282,-2,
283,-1,
284,0,
285,0,
286,0,
287,-2,
288,-2,
289,-2,
290,0,
291,0,
292,0,
293,0,
294,1,
295,0,
296,0,
297,0,
298,2,
299,0,
300,-1,
301,0,
302,-1,
303,-1,
304,-1,
305,-1,
306,-1,
307,-1,
308,-1,
309,-2,
310,-1,
311,2,
312,2,
313,3,
314,3,
315,3,
316,3,
317,2,
318,1,
319,1,
320,0,
321,-2,
322,-1,
323,-1,
324,-1,
325,1,
326,0,
327,1,
328,1,
329,0,
330,1,
331,1,
332,2,
333,1,
334,3,
335,1,
336,3,
337,1,
338,1,
339,3,
340,4,
341,4,
342,4,
343,4,
344,0,
345,0,
346,-2,
347,0,
348,0,
349,0,
350,1,
351,1,
352,0,
353,-2,
354,0,
355,0,
356,0,
357,0,
358,-1,
359,2,
360,2,
361,3,
362,1,
363,1,
364,-2,
365,-1,
366,0,
367,2,
368,0,
369,2,
370,1,
371,0,
372,-1,
373,0,
374,0,
375,-1,
376,2,
